,Sterman biomass,SE_LSP trf_linear  biomass,SE_LSP trf_linear (constrained) biomass,SE_LSP trf_soft_l1  biomass,SE_LSP trf_huber (constrained) biomass
175,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
176,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
177,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
178,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
179,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
180,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
181,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
182,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
183,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
184,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
185,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
186,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
187,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
188,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
189,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
190,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
191,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
192,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
193,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
194,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
195,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
196,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
197,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
198,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
199,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
200,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
201,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
202,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
203,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
204,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
205,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
206,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
207,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
208,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
209,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
210,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
211,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
212,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
213,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
214,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
215,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
216,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
217,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
218,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
219,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
220,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
221,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
222,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
223,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
224,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
225,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
226,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
227,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
228,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
229,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
230,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
231,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
232,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
233,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
234,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
235,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
236,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
237,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
238,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
239,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
240,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
241,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
242,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
243,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
