,Sterman soil,SC_OH trf_linear  soil,SC_OH trf_linear (constrained) soil,SC_OH trf_soft_l1 (constrained) soil,SC_OH trf_huber (constrained) soil,SC_OH dogbox_huber (constrained) soil
2332,174.86417961115572,335.5352369400189,173.9619377757169,176.2429245597276,170.27614521350756,170.5009619596672
2333,174.86417974943785,335.55434349450087,173.9619395280856,176.2429370746864,170.27616477518634,170.5009815782141
2334,174.86417988675075,335.57342459984864,173.96194127038274,176.24294952978707,170.27618424842504,170.50100110806807
2335,174.86418002310123,335.5924802899594,173.96194300266623,176.24296192531588,170.27620363362348,170.50102054963006
2336,174.86418015849603,335.6115105986851,173.96194472499363,176.24297426155778,170.27622293117972,170.50103990329927
2337,174.86418029294188,335.6305155598327,173.96194643742214,176.24298653879632,170.27624214148997,170.501059169473
2338,174.8641804264454,335.6494952071642,173.96194814000867,176.24299875731373,170.2762612649487,170.50107834854686
2339,174.8641805590132,335.66844957439645,173.96194983280978,176.24301091739085,170.27628030194853,170.50109744091458
2340,174.8641806906518,335.6873786952016,173.9619515158817,176.2430230193072,170.27629925288042,170.50111644696815
2341,174.86418082136777,335.7062826032067,173.96195318928036,176.24303506334095,170.27631811813345,170.50113536709785
2342,174.86418095116755,335.7251613319943,173.96195485306134,176.24304704976896,170.27633689809497,170.50115420169203
2343,174.8641810800576,335.74401491510196,173.96195650727992,176.24305897886674,170.2763555931506,170.50117295113745
2344,174.8641812080442,335.7628433860227,173.96195815199107,176.24307085090854,170.27637420368424,170.50119161581904
2345,174.86418133513374,335.78164677820496,173.96195978724944,176.2430826661672,170.276392730078,170.50121019612
2346,174.86418146133252,335.80042512505247,173.96196141310935,176.24309442491435,170.27641117271224,170.50122869242185
2347,174.8641815866468,335.8191784599247,173.9619630296248,176.24310612742025,170.2764295319657,170.50124710510428
2348,174.86418171108275,335.8379068161364,173.9619646368495,176.2431177739539,170.27644780821532,170.50126543454536
2349,174.8641818346465,335.85661022695825,173.96196623483686,176.24312936478304,170.27646600183638,170.50128368112138
2350,174.86418195734424,335.8752887256164,173.96196782363998,176.24314090017407,170.27648411320246,170.50130184520697
2351,174.86418207918194,335.89394234529277,173.96196940331163,176.24315238039216,170.27650214268544,170.50131992717505
2352,174.86418220016571,335.91257111912523,173.9619709739043,176.24316380570122,170.2765200906555,170.50133792739692
2353,174.86418232030152,335.93117508020737,173.96197253547018,176.24317517636382,170.2765379574812,170.5013558462421
2354,174.86418243959528,335.94975426158874,173.9619740880611,176.24318649264137,170.27655574352937,170.5013736840785
