,Sterman soil,SC_OP trf_linear  soil,SC_OP trf_linear (constrained) soil,SC_OP trf_soft_l1 (constrained) soil,SC_OP trf_huber (constrained) soil,SC_OP trf_cauchy (constrained) soil
9060,172.11532562961065,397.7432420814989,188.07879549020635,190.05610965805442,194.4362858783082,198.6200188116538
9061,172.11532562961065,397.7433149503892,188.07879549020635,190.05610965805448,194.43628587830847,198.6200188116703
9062,172.11532562961065,397.7433877515316,188.07879549020635,190.05610965805454,194.43628587830872,198.62001881168672
9063,172.11532562961065,397.743460484989,188.07879549020635,190.0561096580546,194.43628587830898,198.62001881170312
9064,172.11532562961065,397.7435331508243,188.07879549020635,190.05610965805465,194.43628587830923,198.62001881171946
9065,172.11532562961065,397.7436057491005,188.07879549020635,190.0561096580547,194.4362858783095,198.62001881173578
9066,172.11532562961065,397.74367827988027,188.07879549020635,190.05610965805477,194.43628587830975,198.62001881175203
9067,172.11532562961065,397.7437507432264,188.07879549020635,190.05610965805482,194.43628587831,198.62001881176826
9068,172.11532562961065,397.7438231392017,188.07879549020635,190.05610965805488,194.43628587831023,198.62001881178443
9069,172.11532562961065,397.7438954678687,188.07879549020635,190.05610965805494,194.43628587831046,198.62001881180058
9070,172.11532562961065,397.74396772929,188.07879549020635,190.056109658055,194.43628587831068,198.62001881181666
9071,172.11532562961065,397.7440399235281,188.07879549020635,190.05610965805505,194.4362858783109,198.62001881183272
9072,172.11532562961065,397.74411205064547,188.07879549020635,190.0561096580551,194.43628587831114,198.62001881184872
9073,172.11532562961065,397.7441841107045,188.07879549020635,190.05610965805516,194.43628587831137,198.6200188118647
9074,172.11532562961065,397.7442561037676,188.07879549020635,190.05610965805522,194.4362858783116,198.6200188118806
9075,172.11532562961065,397.744328029897,188.07879549020635,190.05610965805528,194.43628587831182,198.6200188118965
9076,172.11532562961065,397.744399889155,188.07879549020635,190.05610965805533,194.43628587831205,198.62001881191233
9077,172.11532562961065,397.7444716816036,188.07879549020635,190.0561096580554,194.43628587831228,198.62001881192813
9078,172.11532562961065,397.7445434073051,188.07879549020635,190.05610965805545,194.4362858783125,198.62001881194388
9079,172.11532562961065,397.7446150663215,188.07879549020635,190.0561096580555,194.43628587831273,198.6200188119596
9080,172.11532562961065,397.7446866587148,188.07879549020635,190.05610965805556,194.43628587831296,198.62001881197526
