,Sterman soil,NE_OP trf_linear  soil,NE_OP trf_linear (constrained) soil,NE_OP trf_soft_l1  soil,NE_OP trf_soft_l1 (constrained) soil,NE_OP trf_huber  soil,NE_OP trf_huber (constrained) soil,NE_OP dogbox_huber (constrained) soil
4194,198.14446381397295,220.38428114837143,199.50797247756452,249.76249111402436,205.39932947296379,251.4801438281953,206.149254860501,203.7871363384496
4195,198.14446381397295,220.38428114837316,199.50797247756452,249.76249113291894,205.39932947296379,251.48014385593385,206.149254860501,203.7871363384496
4196,198.14446381397295,220.38428114837487,199.50797247756452,249.76249115173422,205.39932947296379,251.48014388355867,206.149254860501,203.7871363384496
4197,198.14446381397295,220.38428114837657,199.50797247756452,249.76249117047055,205.39932947296379,251.48014391107023,206.149254860501,203.7871363384496
4198,198.14446381397295,220.38428114837828,199.50797247756452,249.76249118912827,205.39932947296379,251.480143938469,206.149254860501,203.7871363384496
4199,198.14446381397295,220.38428114837996,199.50797247756452,249.7624912077077,205.39932947296379,251.48014396575545,206.149254860501,203.7871363384496
4200,198.14446381397295,220.38428114838163,199.50797247756452,249.7624912262092,205.39932947296379,251.48014399293,206.149254860501,203.7871363384496
4201,198.14446381397295,220.3842811483833,199.50797247756452,249.76249124463303,205.39932947296379,251.48014401999316,206.149254860501,203.7871363384496
4202,198.14446381397295,220.38428114838496,199.50797247756452,249.76249126297955,205.39932947296379,251.48014404694538,206.149254860501,203.7871363384496
4203,198.14446381397295,220.3842811483866,199.50797247756452,249.7624912812491,205.39932947296379,251.4801440737871,206.149254860501,203.7871363384496
4204,198.14446381397295,220.38428114838823,199.50797247756452,249.762491299442,205.39932947296379,251.48014410051877,206.149254860501,203.7871363384496
4205,198.14446381397295,220.38428114838985,199.50797247756452,249.76249131755856,205.39932947296379,251.48014412714085,206.149254860501,203.7871363384496
4206,198.14446381397295,220.38428114839147,199.50797247756452,249.7624913355991,205.39932947296379,251.48014415365378,206.149254860501,203.7871363384496
4207,198.14446381397295,220.38428114839306,199.50797247756452,249.76249135356395,205.39932947296379,251.480144180058,206.149254860501,203.7871363384496
4208,198.14446381397295,220.38428114839465,199.50797247756452,249.7624913714534,205.39932947296379,251.48014420635397,206.149254860501,203.7871363384496
4209,198.14446381397295,220.38428114839624,199.50797247756452,249.76249138926778,205.39932947296379,251.48014423254213,206.149254860501,203.7871363384496
4210,198.14446381397295,220.3842811483978,199.50797247756452,249.76249140700742,205.39932947296379,251.48014425862294,206.149254860501,203.7871363384496
4211,198.14446381397295,220.38428114839937,199.50797247756452,249.76249142467262,205.39932947296379,251.4801442845968,206.149254860501,203.7871363384496
4212,198.14446381397295,220.3842811484009,199.50797247756452,249.7624914422637,205.39932947296379,251.4801443104642,206.149254860501,203.7871363384496
4213,198.14446381397295,220.38428114840244,199.50797247756452,249.76249145978096,205.39932947296379,251.48014433622552,206.149254860501,203.7871363384496
4214,198.14446381397295,220.38428114840397,199.50797247756452,249.76249147722473,205.39932947296379,251.48014436188123,206.149254860501,203.7871363384496
4215,198.14446381397295,220.38428114840548,199.50797247756452,249.7624914945953,205.39932947296379,251.48014438743178,206.149254860501,203.7871363384496
4216,198.14446381397295,220.38428114840698,199.50797247756452,249.762491511893,205.39932947296379,251.48014441287756,206.149254860501,203.7871363384496
4217,198.14446381397295,220.3842811484085,199.50797247756452,249.7624915291181,205.39932947296379,251.480144438219,206.149254860501,203.7871363384496
4218,198.14446381397295,220.38428114840997,199.50797247756452,249.76249154627095,205.39932947296379,251.48014446345658,206.149254860501,203.7871363384496
4219,198.14446381397295,220.38428114841145,199.50797247756452,249.7624915633518,205.39932947296379,251.48014448859067,206.149254860501,203.7871363384496
4220,198.14446381397295,220.38428114841292,199.50797247756452,249.762491580361,205.39932947296379,251.48014451362172,206.149254860501,203.7871363384496
4221,198.14446381397295,220.38428114841437,199.50797247756452,249.7624915972988,205.39932947296379,251.48014453855015,206.149254860501,203.7871363384496
4222,198.14446381397295,220.38428114841582,199.50797247756452,249.76249161416555,205.39932947296379,251.48014456337637,206.149254860501,203.7871363384496
4223,198.14446381397295,220.38428114841727,199.50797247756452,249.76249163096153,205.39932947296379,251.4801445881008,206.149254860501,203.7871363384496
4224,198.14446381397295,220.3842811484187,199.50797247756452,249.76249164768703,205.39932947296379,251.4801446127239,206.149254860501,203.7871363384496
4225,198.14446381397295,220.38428114842011,199.50797247756452,249.76249166434235,205.39932947296379,251.48014463724604,206.149254860501,203.7871363384496
4226,198.14446381397295,220.38428114842154,199.50797247756452,249.76249168092778,205.39932947296379,251.48014466166762,206.149254860501,203.7871363384496
4227,198.14446381397295,220.38428114842293,199.50797247756452,249.7624916974436,205.39932947296379,251.4801446859891,206.149254860501,203.7871363384496
4228,198.14446381397295,220.38428114842432,199.50797247756452,249.76249171389014,205.39932947296379,251.48014471021085,206.149254860501,203.7871363384496
4229,198.14446381397295,220.3842811484257,199.50797247756452,249.76249173026767,205.39932947296379,251.4801447343333,206.149254860501,203.7871363384496
4230,198.14446381397295,220.38428114842708,199.50797247756452,249.76249174657647,205.39932947296379,251.48014475835686,206.149254860501,203.7871363384496
4231,198.14446381397295,220.38428114842844,199.50797247756452,249.76249176281684,205.39932947296379,251.4801447822819,206.149254860501,203.7871363384496
4232,198.14446381397295,220.3842811484298,199.50797247756452,249.76249177898907,205.39932947296379,251.48014480610888,206.149254860501,203.7871363384496
4233,198.14446381397295,220.38428114843114,199.50797247756452,249.76249179509344,205.39932947296379,251.48014482983817,206.149254860501,203.7871363384496
4234,198.14446381397295,220.38428114843248,199.50797247756452,249.76249181113025,205.39932947296379,251.48014485347016,206.149254860501,203.7871363384496
