,Sterman soil,SE_SLP trf_linear  soil,SE_SLP trf_linear (constrained) soil,SE_SLP trf_huber (constrained) soil,SE_SLP dogbox_linear (constrained) soil
2605,102.92662747086132,103.81647780178845,102.81949410810024,101.13311006892046,102.81950324333305
2606,102.92662747087176,103.81647780629719,102.81949410816135,101.13311006918345,102.81950324339415
2607,102.92662747088211,103.81647781077801,102.81949410822197,101.13311006944453,102.81950324345478
2608,102.92662747089237,103.8164778152311,102.81949410828211,101.1331100697037,102.81950324351492
2609,102.92662747090255,103.8164778196566,102.81949410834177,101.133110069961,102.81950324357457
2610,102.92662747091262,103.8164778240547,102.81949410840095,101.13311007021643,102.81950324363375
2611,102.92662747092261,103.81647782842558,102.81949410845965,101.13311007047,102.81950324369245
2612,102.92662747093252,103.8164778327694,102.81949410851789,101.13311007072171,102.81950324375069
2613,102.92662747094234,103.81647783708631,102.81949410857565,101.13311007097161,102.81950324380846
2614,102.92662747095207,103.8164778413765,102.81949410863295,101.13311007121969,102.81950324386575
2615,102.92662747096172,103.81647784564012,102.8194941086898,101.13311007146596,102.8195032439226
2616,102.92662747097128,103.81647784987734,102.81949410874618,101.13311007171045,102.81950324397899
2617,102.92662747098076,103.81647785408833,102.81949410880212,101.13311007195315,102.81950324403492
2618,102.92662747099016,103.81647785827325,102.81949410885761,101.13311007219409,102.81950324409041
2619,102.92662747099946,103.81647786243225,102.81949410891265,101.13311007243327,102.81950324414547
2620,102.9266274710087,103.8164778665655,102.81949410896725,101.13311007267072,102.81950324420006
2621,102.92662747101785,103.81647787067317,102.81949410902142,101.13311007290643,102.81950324425424
2622,102.92662747102692,103.81647787475539,102.81949410907515,101.13311007314043,102.81950324430797
2623,102.92662747103591,103.81647787881235,102.81949410912846,101.13311007337273,102.81950324436127
2624,102.92662747104482,103.81647788284418,102.81949410918133,101.13311007360335,102.81950324441415
2625,102.92662747105366,103.81647788685106,102.81949410923379,101.13311007383228,102.8195032444666
2626,102.92662747106242,103.81647789083313,102.81949410928581,101.13311007405956,102.81950324451863
2627,102.9266274710711,103.81647789479054,102.81949410933743,101.13311007428517,102.81950324457024
2628,102.9266274710797,103.81647789872345,102.81949410938863,101.13311007450915,102.81950324462144
2629,102.92662747108822,103.816477902632,102.81949410943942,101.13311007473149,102.81950324467223
2630,102.92662747109668,103.81647790651635,102.8194941094898,101.13311007495221,102.81950324472263
2631,102.92662747110505,103.81647791037666,102.81949410953978,101.13311007517133,102.8195032447726
2632,102.92662747111335,103.81647791421307,102.81949410958936,101.13311007538886,102.81950324482219
2633,102.92662747112158,103.81647791802571,102.81949410963854,101.1331100756048,102.81950324487137
2634,102.92662747112973,103.81647792181475,102.81949410968733,101.13311007581918,102.81950324492016
2635,102.92662747113782,103.81647792558033,102.81949410973573,101.133110076032,102.81950324496856
2636,102.92662747114584,103.81647792932259,102.81949410978373,101.13311007624327,102.81950324501656
2637,102.92662747115378,103.81647793304168,102.81949410983135,101.13311007645301,102.81950324506418
2638,102.92662747116165,103.81647793673775,102.8194941098786,101.13311007666121,102.81950324511143
2639,102.92662747116945,103.81647794041093,102.81949410992547,101.13311007686791,102.8195032451583
2640,102.9266274711772,103.81647794406138,102.81949410997196,101.1331100770731,102.8195032452048
2641,102.92662747118487,103.81647794768921,102.81949411001807,101.1331100772768,102.81950324525091
2642,102.92662747119248,103.81647795129459,102.81949411006381,101.13311007747902,102.81950324529666
2643,102.9266274712,103.81647795487764,102.81949411010919,101.13311007767976,102.81950324534205
2644,102.92662747120748,103.81647795843851,102.81949411015421,101.13311007787905,102.81950324538707
2645,102.92662747121489,103.81647796197733,102.81949411019887,101.1331100780769,102.81950324543173
2646,102.92662747122222,103.81647796549423,102.81949411024317,101.13311007827329,102.81950324547603
2647,102.9266274712295,103.81647796898936,102.81949411028711,101.13311007846826,102.81950324551997
2648,102.9266274712367,103.81647797246285,102.81949411033071,101.13311007866182,102.81950324556357
2649,102.92662747124385,103.81647797591484,102.81949411037395,101.13311007885396,102.81950324560681
2650,102.92662747125094,103.81647797934545,102.81949411041685,101.13311007904471,102.81950324564971
2651,102.92662747125796,103.81647798275482,102.8194941104594,101.13311007923407,102.81950324569226
2652,102.92662747126492,103.81647798614308,102.81949411050161,101.13311007942205,102.81950324573447
2653,102.92662747127183,103.81647798951036,102.81949411054349,101.13311007960867,102.81950324577635
2654,102.92662747127866,103.81647799285679,102.81949411058503,101.13311007979392,102.81950324581788
2655,102.92662747128544,103.8164779961825,102.81949411062624,101.13311007997784,102.8195032458591
2656,102.92662747129216,103.81647799948762,102.81949411066711,101.1331100801604,102.81950324589997
2657,102.92662747129883,103.81647800277227,102.81949411070765,101.13311008034165,102.81950324594051
2658,102.92662747130544,103.81647800603659,102.81949411074788,101.13311008052158,102.81950324598074
2659,102.92662747131199,103.8164780092807,102.81949411078779,101.13311008070019,102.81950324602064
2660,102.92662747131848,103.81647801250472,102.81949411082736,101.13311008087751,102.81950324606022
2661,102.9266274713249,103.81647801570878,102.81949411086663,101.13311008105354,102.81950324609949
2662,102.92662747133129,103.81647801889301,102.81949411090558,101.1331100812283,102.81950324613844
2663,102.92662747133761,103.81647802205751,102.81949411094422,101.13311008140178,102.81950324617708
2664,102.92662747134388,103.81647802520243,102.81949411098255,101.133110081574,102.8195032462154
2665,102.92662747135009,103.81647802832786,102.81949411102057,101.13311008174497,102.81950324625343
2666,102.92662747135624,103.81647803143396,102.81949411105829,101.1331100819147,102.81950324629115
2667,102.92662747136234,103.81647803452081,102.81949411109571,101.13311008208318,102.81950324632857
2668,102.92662747136838,103.81647803758855,102.81949411113283,101.13311008225044,102.81950324636568
2669,102.92662747137437,103.8164780406373,102.81949411116965,101.13311008241648,102.8195032464025
2670,102.92662747138031,103.81647804366717,102.81949411120617,101.13311008258131,102.81950324643903
2671,102.9266274713862,103.81647804667828,102.8194941112424,101.13311008274495,102.81950324647526
2672,102.92662747139204,103.81647804967075,102.81949411127835,101.1331100829074,102.8195032465112
2673,102.92662747139782,103.8164780526447,102.819494111314,101.13311008306866,102.81950324654686
2674,102.92662747140355,103.81647805560023,102.81949411134937,101.13311008322876,102.81950324658223
