,Sterman soil,NE_MBB trf_linear  soil,NE_MBB trf_linear (constrained) soil,NE_MBB trf_soft_l1  soil,NE_MBB trf_soft_l1 (constrained) soil,NE_MBB trf_huber  soil,NE_MBB trf_huber (constrained) soil,NE_MBB trf_cauchy  soil
85,116.12100934399784,123.3176512701131,116.6231614230271,129.53029668577784,117.46237873186348,129.73980037619296,117.47114967248592,131.81338675017378
86,116.56825517941701,123.63217861027064,117.03005267987254,129.77609926041714,117.80262147501757,129.9804119278741,117.81258964728512,132.0062692770148
87,117.0207952090777,123.95107291413373,117.44202900237806,130.02510718348915,118.14794340895283,130.22413986223418,118.15913768319871,132.20148505499725
88,117.47842231757303,124.274223061722,117.85891177446325,130.27725833730665,118.49819946316552,130.47092411198264,118.51065008611025,132.3989958502323
89,117.94093331999746,124.60151967427763,118.28052572690397,130.5324914439945,118.85324695768173,130.7207054188395,118.86698554936916,132.59876390227072
90,118.40812892187661,124.93285509280862,118.70669889209876,130.79074605596853,119.21294557427032,130.97342532455778,119.2280051230063,132.80075191923265
91,118.87981367847378,125.26812335678238,119.1372625591282,131.05196254647913,119.57715732781617,131.2290261619973,119.59357218320375,133.00492307295985
92,119.3557959535253,125.60722018297292,119.57205122911544,131.3160821002213,119.94574653785796,131.48745104625146,119.96355240202136,133.21124099419137
93,119.83588787745563,125.95004294446456,120.01090257089507,131.583046704012,120.31857980029481,131.748643865829,120.33781371738185,133.4196697677636
94,120.31990530512094,126.29649064981476,120.45365737699743,131.85279913753604,120.6955259592656,132.0125492738918,120.71622630331612,133.63017392783559
95,120.80766777312822,126.64646392237871,120.90015951995508,132.1252829641618,121.07645607920485,132.27911267955056,121.09866254047071,133.84271845314063
96,121.2989984567754,126.99986497979785,121.3502559089377,132.40044252182705,121.46124341707888,132.54828023921897,121.48499698687836,134.05726876226464
97,121.79372412665599,127.35659761365447,121.80379644672125,132.6782229139963,121.84976339480548,132.81999884802846,121.87510634899317,134.2737907089524
98,122.29167510497047,127.7165671692944,122.26063398699702,132.95857000069026,122.24189357186063,133.09421613130368,122.26886945299154,134.49225057744192
99,122.79268522158459,128.07968052581933,122.72062429202575,133.2414303895879,122.63751361807519,133.3708804361006,122.66616721633939,134.7126150778282
100,123.29659176987356,128.44584607625072,123.18362599064172,133.5267514272021,123.03650528662463,133.64994082280742,123.06688261962678,134.93485134145627
