,Sterman biomass,NE_OH trf_linear  biomass,NE_OH trf_linear (constrained) biomass,NE_OH trf_soft_l1 (constrained) biomass,NE_OH trf_huber  biomass,NE_OH trf_huber (constrained) biomass
2271,316.6631518692189,342.89685800126455,333.24493663777395,349.72495591268137,372.5763681878799,339.21539856186155
2272,316.66315186921963,342.89685800245354,333.2449366379445,349.7249559141509,372.57636822639125,339.2153985620819
2273,316.66315186922037,342.8968580036312,333.24493663811324,349.72495591560653,372.576368264597,339.2153985622999
2274,316.6631518692211,342.8968580047977,333.24493663828025,349.7249559170484,372.5763683024996,339.21539856251576
2275,316.66315186922185,342.89685800595316,333.2449366384455,349.72495591847667,372.57636834010134,339.2153985627294
2276,316.6631518692226,342.8968580070976,333.24493663860903,349.72495591989144,372.57636837740466,339.2153985629408
2277,316.6631518692233,342.8968580082311,333.24493663877087,349.7249559212928,372.576368414412,339.21539856314996
2278,316.66315186922407,342.8968580093538,333.24493663893105,349.7249559226809,372.57636845112563,339.215398563357
2279,316.6631518692248,342.8968580104659,333.24493663908953,349.72495592405596,372.5763684875479,339.21539856356185
2280,316.6631518692255,342.8968580115674,333.24493663924636,349.724955925418,372.57636852368114,339.2153985637646
2281,316.6631518692261,342.8968580126584,333.24493663940154,349.72495592676717,372.5763685595277,339.2153985639653
2282,316.66315186922674,342.89685801373906,333.24493663955514,349.7249559281036,372.5763685950897,339.21539856416393
2283,316.66315186922736,342.8968580148094,333.24493663970713,349.7249559294274,372.5763686303696,339.2153985643605
2284,316.663151869228,342.8968580158696,333.24493663985754,349.72495593073864,372.57636866536944,339.215398564555
2285,316.6631518692286,342.89685801691974,333.24493664000636,349.7249559320375,372.57636870009156,339.2153985647475
2286,316.66315186922924,342.89685801795986,333.24493664015364,349.7249559333241,372.57636873453816,339.215398564938
2287,316.6631518692299,342.8968580189901,333.2449366402994,349.72495593459854,372.57636876871146,339.2153985651266
2288,316.6631518692306,342.89685802001054,333.2449366404436,349.724955935861,372.5763688026135,339.2153985653132
2289,316.6631518692313,342.8968580210213,333.24493664058633,349.7249559371114,372.57636883624656,339.2153985654979
2290,316.66315186923197,342.8968580220224,333.24493664072753,349.7249559383501,372.5763688696126,339.2153985656807
2291,316.6631518692326,342.896858023014,333.2449366408673,349.72495593957706,372.57636890271397,339.21539856586156
2292,316.66315186923316,342.8968580239962,333.2449366410056,349.72495594079237,372.57636893555264,339.21539856604056
2293,316.66315186923373,342.896858024969,333.24493664114243,349.7249559419962,372.5763689681307,339.21539856621774
2294,316.6631518692343,342.89685802593254,333.2449366412779,349.7249559431887,372.57636900045014,339.2153985663931
2295,316.66315186923487,342.89685802688695,333.24493664141187,349.7249559443699,372.5763690325132,339.21539856656665
