,Sterman biomass,SC_SLP trf_linear  biomass,SC_SLP trf_linear (constrained) biomass,SC_SLP trf_huber (constrained) biomass,SC_SLP dogbox_linear (constrained) biomass,SC_SLP dogbox_huber (constrained) biomass
85,134.2148076309245,134.20175967617007,134.1911364170557,134.22049639784532,134.19118668339323,134.22053649227152
86,134.21481456010562,134.20176485388305,134.19114147735635,134.22050160834894,134.19119174764356,134.22054170668093
87,134.21482017552177,134.2017690381782,134.19114556559904,134.22050581917568,134.19119583912914,134.2205459207157
88,134.2148247262612,134.2017724196568,134.1911488685111,134.22050922212154,134.19119914470306,134.22054932629578
89,134.21482841418546,134.2017751523506,134.1911515369505,134.22051197218485,134.19120181532693,134.22055207852162
90,134.21483140288325,134.20177736073816,134.19115369279623,134.22051419462642,134.1912039729649,134.22055430273804
91,134.21483382492715,134.20177914541512,134.19115543451488,134.22051599067467,134.19120571615366,134.22055610024265
92,134.2148357877541,134.20178058767635,134.19115684165823,134.2205174421366,134.19120712450254,134.2205575528993
93,134.21483737843116,134.20178175321922,134.19115797849648,134.2205186151239,134.19120826232913,134.22055872686644
94,134.2148386675175,134.20178269513605,134.19115889695382,134.2205195630641,134.1912091815967,134.22055967561013
95,134.21483971219445,134.20178345633272,134.19115963898014,134.22052032913433,134.19120992428702,134.2205604423391
96,134.21484055880177,134.20178407148293,134.19116023846695,134.22052094822783,134.19121052431788,134.2205610619725
97,134.21484124489322,134.2017845686078,134.19116072279533,134.22052144854325,134.191211009092,134.22056156273035
98,134.21484180090243,134.20178497035218,134.1911611140867,134.2205218528691,134.19121140074841,134.22056196741875
99,134.2148422514929,134.20178529501615,134.19116143021296,134.22052217962175,134.19121171717362,134.2205622944684
100,134.2148426166519,134.20178555738875,134.19116168561297,134.22052244368427,134.1912119728184,134.2205625587742
101,134.21484291257713,134.20178576942138,134.19116189195194,134.22052265708427,134.1912121793577,134.2205627723734
102,134.21484315239525,134.20178594077254,134.1911620586542,134.22052282954178,134.19121234622398,134.22056294499396
103,134.21484334674406,134.20178607924754,134.19116219333384,134.22052296891192,134.19121248103778,134.2205630844976
104,134.21484350424456,134.2017861911541,134.19116230214215,134.22052308154275,134.1912125899559,134.22056319723774
