,Sterman biomass,NE_OP trf_linear  biomass,NE_OP trf_linear (constrained) biomass,NE_OP trf_soft_l1  biomass,NE_OP trf_soft_l1 (constrained) biomass,NE_OP trf_huber  biomass,NE_OP trf_huber (constrained) biomass,NE_OP dogbox_huber (constrained) biomass
1257,176.32746559580985,182.2993139248836,179.34666994833643,186.4590152769127,183.43573286188726,186.95530839842513,184.01387927230712,182.1748967858478
1258,176.32746559581005,182.29931392489067,179.34666994833853,186.45901527694795,183.43573286189732,186.95530839847214,184.0138792723161,182.17489678585318
1259,176.32746559581022,182.2993139248976,179.34666994834058,186.45901527698248,183.43573286190716,186.9553083985182,184.01387927232489,182.17489678585844
1260,176.3274655958104,182.2993139249044,179.34666994834257,186.4590152770163,183.4357328619168,186.95530839856337,184.01387927233347,182.17489678586358
1261,176.32746559581057,182.29931392491102,179.34666994834453,186.45901527704942,183.43573286192623,186.9553083986076,184.01387927234188,182.1748967858686
1262,176.32746559581074,182.2993139249175,179.34666994834646,186.45901527708187,183.43573286193543,186.9553083986509,184.0138792723501,182.17489678587353
1263,176.3274655958109,182.29931392492384,179.34666994834834,186.45901527711365,183.43573286194444,186.95530839869338,184.01387927235814,182.17489678587836
1264,176.32746559581108,182.29931392493,179.34666994835015,186.4590152771448,183.43573286195328,186.95530839873499,184.013879272366,182.17489678588308
1265,176.32746559581125,182.2993139249361,179.34666994835194,186.45901527717533,183.43573286196192,186.95530839877577,184.0138792723737,182.17489678588768
1266,176.32746559581142,182.29931392494203,179.3466699483537,186.45901527720522,183.43573286197037,186.95530839881573,184.01387927238125,182.1748967858922
1267,176.32746559581156,182.29931392494782,179.3466699483554,186.4590152772345,183.43573286197864,186.95530839885487,184.0138792723886,182.1748967858966
1268,176.3274655958117,182.2993139249535,179.3466699483571,186.45901527726318,183.4357328619867,186.9553083988932,184.01387927239585,182.17489678590093
1269,176.32746559581184,182.29931392495905,179.34666994835874,186.4590152772913,183.43573286199464,186.95530839893078,184.0138792724029,182.17489678590513
1270,176.327465595812,182.29931392496448,179.34666994836033,186.45901527731883,183.43573286200237,186.95530839896762,184.0138792724098,182.17489678590925
1271,176.32746559581213,182.2993139249698,179.3466699483619,186.4590152773458,183.43573286200996,186.9553083990037,184.01387927241657,182.17489678591326
1272,176.32746559581227,182.299313924975,179.34666994836343,186.4590152773722,183.43573286201737,186.9553083990391,184.0138792724232,182.1748967859172
1273,176.3274655958124,182.29931392498005,179.3466699483649,186.4590152773981,183.43573286202465,186.95530839907374,184.01387927242965,182.17489678592105
1274,176.32746559581255,182.29931392498503,179.34666994836638,186.45901527742345,183.43573286203176,186.9553083991077,184.013879272436,182.1748967859248
1275,176.32746559581267,182.2993139249899,179.34666994836778,186.4590152774483,183.43573286203872,186.95530839914096,184.01387927244218,182.1748967859285
1276,176.32746559581278,182.29931392499464,179.34666994836917,186.45901527747262,183.43573286204554,186.95530839917356,184.01387927244824,182.17489678593213
1277,176.3274655958129,182.2993139249993,179.34666994837053,186.45901527749643,183.4357328620522,186.9553083992055,184.01387927245418,182.17489678593566
1278,176.327465595813,182.29931392500384,179.34666994837187,186.45901527751977,183.4357328620587,186.9553083992368,184.01387927245997,182.1748967859391
1279,176.32746559581312,182.2993139250083,179.34666994837318,186.45901527754265,183.43573286206507,186.95530839926747,184.01387927246563,182.17489678594248
1280,176.32746559581324,182.29931392501265,179.34666994837443,186.45901527756504,183.43573286207132,186.9553083992975,184.01387927247117,182.17489678594578
1281,176.32746559581335,182.29931392501692,179.34666994837565,186.45901527758699,183.43573286207743,186.95530839932695,184.0138792724766,182.17489678594902
1282,176.32746559581346,182.2993139250211,179.34666994837687,186.4590152776085,183.4357328620834,186.9553083993558,184.01387927248194,182.17489678595217
1283,176.32746559581358,182.2993139250252,179.34666994837804,186.45901527762956,183.43573286208925,186.95530839938405,184.01387927248715,182.17489678595527
1284,176.3274655958137,182.2993139250292,179.3466699483792,186.4590152776502,183.43573286209497,186.95530839941176,184.01387927249223,182.17489678595828
1285,176.3274655958138,182.2993139250331,179.34666994838034,186.4590152776704,183.43573286210056,186.9553083994389,184.0138792724972,182.17489678596124
1286,176.32746559581392,182.29931392503693,179.34666994838142,186.4590152776902,183.43573286210605,186.9553083994655,184.0138792725021,182.17489678596414
1287,176.32746559581403,182.29931392504065,179.3466699483825,186.4590152777096,183.4357328621114,186.95530839949157,184.01387927250687,182.17489678596698
1288,176.32746559581415,182.29931392504432,179.34666994838355,186.45901527772858,183.43573286211665,186.9553083995171,184.01387927251153,182.17489678596974
1289,176.32746559581426,182.2993139250479,179.34666994838457,186.4590152777472,183.4357328621218,186.9553083995421,184.0138792725161,182.17489678597244
1290,176.32746559581437,182.2993139250514,179.34666994838557,186.45901527776545,183.43573286212683,186.9553083995666,184.01387927252057,182.17489678597508
1291,176.3274655958145,182.2993139250548,179.34666994838653,186.4590152777833,183.43573286213172,186.95530839959062,184.01387927252495,182.17489678597764
1292,176.3274655958146,182.29931392505816,179.3466699483875,186.4590152778008,183.43573286213655,186.95530839961418,184.01387927252924,182.1748967859802
1293,176.32746559581472,182.29931392506143,179.34666994838844,186.45901527781794,183.43573286214126,186.95530839963723,184.01387927253342,182.17489678598267
1294,176.3274655958148,182.2993139250646,179.34666994838935,186.45901527783474,183.4357328621459,186.95530839965986,184.0138792725375,182.17489678598508
1295,176.32746559581489,182.29931392506774,179.34666994839026,186.4590152778512,183.4357328621504,186.955308399682,184.01387927254152,182.17489678598744
1296,176.32746559581494,182.2993139250708,179.34666994839114,186.4590152778673,183.43573286215482,186.95530839970368,184.01387927254544,182.17489678598974
1297,176.327465595815,182.29931392507385,179.34666994839202,186.45901527788308,183.43573286215914,186.95530839972494,184.0138792725493,182.17489678599202
1298,176.32746559581506,182.2993139250768,179.34666994839287,186.45901527789854,183.43573286216338,186.95530839974577,184.01387927255305,182.17489678599424
1299,176.3274655958151,182.2993139250797,179.3466699483937,186.4590152779137,183.43573286216753,186.9553083997662,184.01387927255672,182.1748967859964
1300,176.32746559581517,182.29931392508252,179.3466699483945,186.45901527792853,183.43573286217156,186.95530839978622,184.0138792725603,182.1748967859985
1301,176.32746559581523,182.29931392508527,179.3466699483953,186.45901527794305,183.4357328621755,186.95530839980583,184.01387927256383,182.17489678600057
1302,176.32746559581528,182.29931392508797,179.34666994839606,186.4590152779573,183.43573286217938,186.95530839982504,184.0138792725673,182.1748967860026
1303,176.32746559581534,182.2993139250906,179.34666994839682,186.45901527797122,183.43573286218316,186.95530839984386,184.01387927257065,182.17489678600458
1304,176.3274655958154,182.29931392509314,179.34666994839756,186.4590152779849,183.43573286218685,186.9553083998623,184.01387927257394,182.17489678600654
1305,176.32746559581545,182.29931392509565,179.34666994839824,186.45901527799828,183.4357328621905,186.95530839988038,184.01387927257719,182.17489678600845
1306,176.3274655958155,182.29931392509812,179.34666994839895,186.45901527801138,183.43573286219404,186.9553083998981,184.0138792725803,182.17489678601032
1307,176.32746559581557,182.29931392510053,179.34666994839964,186.45901527802422,183.43573286219754,186.95530839991542,184.01387927258338,182.17489678601214
1308,176.32746559581562,182.2993139251029,179.34666994840032,186.45901527803682,183.43573286220095,186.95530839993242,184.0138792725864,182.1748967860139
1309,176.32746559581568,182.2993139251052,179.34666994840097,186.45901527804915,183.4357328622043,186.95530839994908,184.01387927258935,182.17489678601564
1310,176.32746559581574,182.29931392510744,179.3466699484016,186.45901527806123,183.43573286220757,186.9553083999654,184.01387927259225,182.1748967860173
1311,176.3274655958158,182.29931392510966,179.34666994840222,186.45901527807305,183.43573286221078,186.9553083999814,184.0138792725951,182.17489678601896
1312,176.32746559581585,182.29931392511182,179.34666994840285,186.45901527808462,183.43573286221394,186.95530839999705,184.01387927259788,182.17489678602058
1313,176.3274655958159,182.29931392511395,179.34666994840342,186.45901527809596,183.43573286221698,186.9553084000124,184.01387927260058,182.17489678602217
1314,176.32746559581597,182.29931392511602,179.34666994840399,186.45901527810707,183.43573286221996,186.95530840002743,184.0138792726032,182.1748967860237
1315,176.32746559581602,182.29931392511804,179.34666994840455,186.459015278118,183.4357328622229,186.95530840004218,184.01387927260578,182.17489678602524
1316,176.32746559581608,182.29931392512003,179.3466699484051,186.45901527812867,183.43573286222576,186.95530840005662,184.01387927260834,182.17489678602672
1317,176.32746559581614,182.29931392512196,179.34666994840566,186.4590152781391,183.43573286222855,186.95530840007078,184.01387927261084,182.1748967860282
1318,176.3274655958162,182.29931392512384,179.34666994840617,186.45901527814934,183.4357328622313,186.95530840008465,184.01387927261328,182.17489678602962
1319,176.32746559581625,182.29931392512572,179.34666994840669,186.45901527815937,183.435732862234,186.95530840009823,184.01387927261567,182.174896786031
1320,176.3274655958163,182.2993139251275,179.3466699484072,186.45901527816918,183.43573286223662,186.95530840011153,184.013879272618,182.17489678603235
1321,176.32746559581636,182.29931392512927,179.3466699484077,186.45901527817878,183.43573286223918,186.95530840012458,184.0138792726203,182.17489678603368
1322,176.32746559581642,182.29931392513097,179.3466699484082,186.45901527818822,183.43573286224168,186.95530840013737,184.01387927262255,182.174896786035
1323,176.32746559581648,182.29931392513268,179.34666994840865,186.45901527819746,183.43573286224412,186.9553084001499,184.0138792726247,182.17489678603627
1324,176.32746559581653,182.29931392513433,179.3466699484091,186.45901527820652,183.43573286224654,186.95530840016218,184.0138792726268,182.1748967860375
1325,176.3274655958166,182.29931392513595,179.34666994840956,186.4590152782154,183.4357328622489,186.9553084001742,184.01387927262888,182.17489678603872
1326,176.32746559581665,182.29931392513754,179.34666994840998,186.45901527822406,183.4357328622512,186.95530840018597,184.01387927263093,182.1748967860399
1327,176.3274655958167,182.2993139251391,179.34666994841044,186.45901527823258,183.43573286225345,186.9553084001975,184.01387927263292,182.17489678604107
1328,176.32746559581676,182.29931392514064,179.34666994841086,186.4590152782409,183.43573286225566,186.95530840020882,184.01387927263488,182.1748967860422
1329,176.32746559581682,182.29931392514212,179.34666994841126,186.45901527824907,183.43573286225782,186.9553084002199,184.01387927263679,182.17489678604335
1330,176.32746559581688,182.29931392514357,179.34666994841166,186.45901527825708,183.43573286225993,186.9553084002308,184.01387927263866,182.17489678604446
1331,176.3274655958169,182.299313925145,179.34666994841206,186.45901527826493,183.43573286226197,186.95530840024145,184.0138792726405,182.1748967860455
1332,176.32746559581693,182.29931392514638,179.34666994841245,186.4590152782726,183.43573286226402,186.95530840025188,184.0138792726423,182.17489678604653
1333,176.32746559581696,182.29931392514774,179.34666994841282,186.45901527828013,183.435732862266,186.95530840026208,184.01387927264406,182.17489678604753
1334,176.327465595817,182.29931392514908,179.3466699484132,186.4590152782875,183.43573286226794,186.9553084002721,184.0138792726458,182.17489678604852
1335,176.32746559581702,182.2993139251504,179.34666994841353,186.45901527829471,183.43573286226984,186.95530840028192,184.01387927264744,182.1748967860495
1336,176.32746559581705,182.2993139251517,179.34666994841388,186.4590152783018,183.4357328622717,186.95530840029156,184.0138792726491,182.17489678605043
1337,176.32746559581707,182.29931392515294,179.34666994841422,186.4590152783087,183.43573286227348,186.955308400301,184.01387927265068,182.17489678605136
1338,176.3274655958171,182.2993139251542,179.34666994841456,186.4590152783155,183.43573286227524,186.95530840031023,184.01387927265225,182.17489678605227
1339,176.32746559581713,182.2993139251554,179.34666994841487,186.4590152783221,183.43573286227698,186.95530840031927,184.01387927265378,182.17489678605315
1340,176.32746559581716,182.29931392515655,179.34666994841518,186.45901527832862,183.4357328622787,186.9553084003281,184.0138792726553,182.174896786054
1341,176.3274655958172,182.2993139251577,179.34666994841552,186.45901527833502,183.4357328622804,186.9553084003368,184.01387927265677,182.17489678605486
1342,176.32746559581722,182.29931392515883,179.34666994841584,186.45901527834127,183.43573286228204,186.9553084003453,184.01387927265822,182.17489678605568
1343,176.32746559581724,182.29931392515994,179.34666994841612,186.45901527834738,183.43573286228363,186.95530840035363,184.0138792726596,182.1748967860565
1344,176.32746559581727,182.299313925161,179.3466699484164,186.45901527835338,183.4357328622852,186.95530840036182,184.013879272661,182.1748967860573
1345,176.3274655958173,182.29931392516204,179.3466699484167,186.45901527835926,183.4357328622867,186.95530840036983,184.01387927266234,182.1748967860581
1346,176.32746559581733,182.29931392516306,179.34666994841695,186.45901527836503,183.4357328622882,186.95530840037767,184.01387927266367,182.17489678605884
1347,176.32746559581733,182.29931392516406,179.34666994841723,186.45901527837069,183.43573286228965,186.95530840038535,184.01387927266495,182.17489678605958
1348,176.32746559581733,182.29931392516505,179.3466699484175,186.45901527837623,183.4357328622911,186.95530840039288,184.01387927266623,182.17489678606032
1349,176.32746559581733,182.29931392516602,179.34666994841777,186.45901527838163,183.4357328622925,186.95530840040027,184.01387927266748,182.17489678606105
1350,176.32746559581733,182.29931392516693,179.34666994841803,186.45901527838691,183.4357328622939,186.95530840040752,184.01387927266867,182.17489678606174
1351,176.32746559581733,182.29931392516784,179.34666994841828,186.4590152783921,183.43573286229523,186.9553084004146,184.01387927266984,182.1748967860624
1352,176.32746559581733,182.29931392516875,179.34666994841854,186.45901527839717,183.43573286229653,186.95530840042153,184.01387927267098,182.17489678606307
1353,176.32746559581733,182.2993139251696,179.34666994841874,186.45901527840215,183.4357328622978,186.95530840042835,184.0138792726721,182.17489678606373
1354,176.32746559581733,182.29931392517045,179.34666994841896,186.459015278407,183.43573286229906,186.955308400435,184.01387927267322,182.17489678606435
1355,176.32746559581733,182.2993139251713,179.3466699484192,186.45901527841178,183.43573286230028,186.95530840044154,184.0138792726743,182.17489678606498
1356,176.32746559581733,182.29931392517213,179.34666994841942,186.45901527841644,183.43573286230148,186.95530840044796,184.01387927267535,182.17489678606557
1357,176.32746559581733,182.29931392517295,179.34666994841965,186.45901527842105,183.43573286230267,186.95530840045421,184.01387927267638,182.17489678606617
1358,176.32746559581733,182.29931392517372,179.34666994841984,186.45901527842554,183.43573286230384,186.95530840046035,184.0138792726774,182.17489678606677
1359,176.32746559581733,182.2993139251745,179.34666994842004,186.45901527842994,183.43573286230495,186.95530840046638,184.0138792726784,182.17489678606734
1360,176.32746559581733,182.29931392517523,179.34666994842024,186.45901527843426,183.43573286230603,186.9553084004723,184.01387927267936,182.1748967860679
1361,176.32746559581733,182.299313925176,179.34666994842044,186.4590152784385,183.4357328623071,186.9553084004781,184.0138792726803,182.17489678606844
1362,176.32746559581733,182.2993139251767,179.34666994842067,186.45901527844262,183.43573286230816,186.95530840048377,184.01387927268124,182.17489678606896
1363,176.32746559581733,182.29931392517742,179.34666994842087,186.45901527844666,183.43573286230918,186.95530840048932,184.01387927268217,182.1748967860695
1364,176.32746559581733,182.2993139251781,179.34666994842107,186.45901527845064,183.43573286231018,186.95530840049474,184.01387927268306,182.17489678607
