,Sterman biomass,SC_OP trf_linear  biomass,SC_OP trf_linear (constrained) biomass,SC_OP trf_soft_l1 (constrained) biomass,SC_OP trf_huber (constrained) biomass,SC_OP trf_cauchy (constrained) biomass
172,172.20937738417558,174.85167809609877,175.05539100038382,173.39880519061091,174.49889052373274,173.74516877402854
173,172.37440891523835,175.04555787771574,175.25259257722394,173.57429620607056,174.68878049531384,173.9258306073891
174,172.53620945895534,175.2360233679014,175.4463681298476,173.74645898089585,174.87527457173223,174.10314040427696
175,172.69483970699008,175.4231322170992,175.6367747381622,173.91535382291457,175.0584309479304,174.27715774711453
176,172.85035931239165,175.6069411906765,175.8238686169762,174.08104005469767,175.23830691336738,174.44794125749675
177,173.00282690330368,175.78750617931465,176.00770512604544,174.24357602549603,175.41495886273734,174.6155486079342
178,173.15230009666436,175.9648822094,176.18833878011864,174.40301912320305,175.58844230669237,174.78003653360454
179,173.2988355118885,176.13912345340933,176.36582325897632,174.55942578633417,175.75881188256292,174.94146084410488
180,173.44248878452282,176.31028324028452,176.54021141745844,174.71285151601472,175.92612136506995,175.09987643519682
181,173.58331457986685,176.4784140657908,176.71155529547488,174.86335088796807,176.09042367702278,175.25533730053806
182,173.72136660655113,176.64356760285347,176.87990612799524,175.01097756449633,176.2517708999973,175.40789654339326
183,173.856697630066,176.8057947118687,177.0453143550122,175.15578430644632,176.41021428498897,175.5576063883181
184,173.9893594862338,176.96514545098324,177.20782963147508,175.29782298515383,176.56580426303572,175.70451819281027
185,174.11940309461798,177.12166908633856,177.36750083718871,175.4371445943593,176.7185904558062,175.8486824589216
186,174.24687847186328,177.27541410227613,177.5243760866746,175.573799262089,176.86862168614837,175.99014884482654
187,174.371834744961,177.42642821149872,177.67850273898995,175.70783626249542,177.01594598859444,176.12896617634073
188,174.4943201644341,177.5747583651848,177.8299274075012,175.83930402765125,177.16061061981813,176.2651824583859
189,174.61438211743672,177.72045076305213,177.9786959696094,175.96825015929193,177.3026620690401,176.3988448863958
190,174.732067140764,177.86355086336732,178.1248535764229,176.09472144050096,177.44214606837818,176.52999985765905
191,174.8474209337672,178.004103392898,178.26844466237623,176.21876384733406,177.57910760313877,176.65869298259497
